Game ID#,Game Date,Game Time,Home,Away,Ice Rink,Game Code,League,Paid By Team,# of Officials,Game Length (min),Officials/Positions,,,,,,,
9124051,11/24/2024,8:00pm,Sacred Heart (ACHA D3),NJIT (ACHA D3),Martire Family Arena,MCHC - League Game,MCHC - ACHA D3,No,4,150,"Viccari, Ben",Referee,"Whitehead, John",Referee,"Miloro, Mark",Linesman,"Pimentel, Chris",Linesman
9190676,12/6/2024,7:00pm,Western Connecticut (ACHA D3),Sacred Heart (ACHA D3),Danbury Ice Arena,MCHC - League Game,MCHC - ACHA D3,No,4,150,"Pimentel, Chris",Referee,"Dudley, Nathan",Referee,"Dutton, Matt",Linesman,"Lye, Daniel",Linesman
9190677,12/7/2024,3:30pm,Western Connecticut (ACHA D3),St. Thomas Aquinas (ACHA D3),Danbury Ice Arena,MCHC - League Game,MCHC - ACHA D3,No,4,150,"Conway, Seamus",Referee,"Viccari, Ben",Referee,"Mazza, Joseph",Linesman,"Dudley, Nathan",Linesman
9132505,12/7/2024,8:45pm,Yeshiva (ACHA D3),Sacred Heart (ACHA D3),Mackay Ice Rink (outdoor),MCHC - League Game,MCHC - ACHA D3,No,4,150,"Alagna, Allen",Referee,"Hanson, Bryan",Referee,"Nolan, Patrick",Linesman,"Seltzer, Michael",Linesman
9245649,12/7/2024,8:30pm,NJIT (ACHA D3),Kings Point (ACHA D3),RWJ Barnabas Health Hockey House,MCHC - League Game,MCHC - ACHA D3,No,4,150,"Giorgio, Anthony",Referee,"Simon, Daniel",Referee,"Anderson, Joshua",Linesman,"Cahill, Nicholas",Linesman
9264377,12/14/2024,10:15pm,Kings Point (ACHA D3),Yeshiva (ACHA D3),Andrew Stergiopoulis Ice Rink,MCHC - League Game,MCHC - ACHA D3,No,4,150,"Schmaeling, Colin",Referee,"Hanson, Bryan",Referee,"Peterson, John",Linesman,"Columbia, Thomas",Linesman
9264374,1/18/2025,8:45pm,Yeshiva (ACHA D3),Kings Point (ACHA D3),Mackay Ice Rink (outdoor),MCHC - League Game,MCHC - ACHA D3,No,4,150,,,,,,,,
9124052,1/19/2025,5:30pm,Sacred Heart (ACHA D3),Kings Point (ACHA D3),Martire Family Arena,MCHC - League Game,MCHC - ACHA D3,No,4,150,,,,,,,,
9190679,1/24/2025,10:00pm,Western Connecticut (ACHA D3),Kings Point (ACHA D3),Danbury Ice Arena,MCHC - League Game,MCHC - ACHA D3,No,4,115,,,,,,,,
9245644,1/25/2025,10:15pm,Kings Point (ACHA D3),NJIT (ACHA D3),Andrew Stergiopoulis Ice Rink,MCHC - League Game,MCHC - ACHA D3,No,4,150,,,,,,,,
9195995,1/25/2025,8:00pm,St. Thomas Aquinas (ACHA D3),Yeshiva (ACHA D3),Sport-O-Rama,MCHC - League Game,MCHC - ACHA D3,No,4,150,"Giorgio, Anthony",Referee,,,,,,
9120476,1/26/2025,8:30pm,NJIT (ACHA D3),Yeshiva (ACHA D3),RWJ Barnabas Health Hockey House,MCHC - League Game,MCHC - ACHA D3,No,4,150,,,,,,,,
9166669,2/1/2025,8:10pm,St. Thomas Aquinas (ACHA D3),Sacred Heart (ACHA D3),Sport-O-Rama,MCHC - League Game,MCHC - ACHA D3,No,4,150,,,,,,,,
9245447,2/1/2025,10:00pm,Maritime (ACHA D3),Yeshiva (ACHA D3),World Ice Arena,MCHC - League Game,MCHC - ACHA D3,No,4,150,,,,,,,,
9124053,2/2/2025,3:15pm,Sacred Heart (ACHA D3),Western Connecticut (ACHA D3),Martire Family Arena,MCHC - League Game,MCHC - ACHA D3,No,4,150,,,,,,,,
9349379,2/2/2025,3:25pm,St. Thomas Aquinas (ACHA D3),Maritime (ACHA D3),Sport-O-Rama,MCHC - League Game,MCHC - ACHA D3,No,4,150,,,,,,,,
9245640,2/7/2025,10:30pm,Kings Point (ACHA D3),St. Thomas Aquinas (ACHA D3),Andrew Stergiopoulis Ice Rink,MCHC - League Game,MCHC - ACHA D3,No,4,150,"Demaio, Christopher",Referee,"Remsbecker, Jason",Linesman,"Seltzer, Michael",Linesman,,
9120478,2/7/2025,8:30pm,NJIT (ACHA D3),Sacred Heart (ACHA D3),RWJ Barnabas Health Hockey House,MCHC - League Game,MCHC - ACHA D3,No,4,150,,,,,,,,
9245647,2/8/2025,10:15pm,Kings Point (ACHA D3),Maritime (ACHA D3),Andrew Stergiopoulis Ice Rink,MCHC - League Game,MCHC - ACHA D3,No,4,150,"Remsbecker, Jason",Linesman,,,,,,
9120479,2/15/2025,8:30pm,NJIT (ACHA D3),St. Thomas Aquinas (ACHA D3),RWJ Barnabas Health Hockey House,MCHC - League Game,MCHC - ACHA D3,No,4,150,"Giorgio, Anthony",Referee,,,,,,
9245448,2/15/2025,10:00pm,Maritime (ACHA D3),Sacred Heart (ACHA D3),World Ice Arena,MCHC - League Game,MCHC - ACHA D3,No,4,150,,,,,,,,
9198897,2/16/2025,3:45pm,Yeshiva (ACHA D3),Maritime (ACHA D3),Mackay Ice Rink (outdoor),MCHC - League Game,MCHC - ACHA D3,No,4,150,,,,,,,,
9150640,2/22/2025,6:00pm,TBA,TBA (2),Andrew Stergiopoulis Ice Rink,MCHC - Playoffs,MCHC - ACHA D3,No,4,145,,,,,,,,
9150641,2/22/2025,8:30pm,TBA,TBA (2),Andrew Stergiopoulis Ice Rink,MCHC - Playoffs,MCHC - ACHA D3,No,4,150,,,,,,,,
9150642,2/23/2025,3:00pm,TBA,TBA (2),Andrew Stergiopoulis Ice Rink,MCHC - Playoffs,MCHC - ACHA D3,No,4,140,,,,,,,,
9175321,3/2/2025,5:00pm,MCHC All-Stars 1,MCHC All-Stars 2,Andrew Stergiopoulis Ice Rink,MCHC - All-Star Game,MCHC - ACHA D3,No,3,135,,,,,,,,
